payment_id,installation_id,amount_xaf,payment_date,channel,status,operator_code
ORMN-53923001-446,932,19600.0,09/04/2024,orange_money,success,ORANGE_MONEY
MOMO-56482474-860,349,40000.0,07/05/2024,mtn_momo,success,MTN739
ORMN-65110521-735,4354,11200.0,17-03-2025,orange_money,success,OM-CM
MOMO-65224306-281,3462,8300.0,2025/01/19,mtn_momo,success,MTN717
MOMO-15730003-710,4438,-1400.0,09/09/2024,mtn_momo,success,MTN305
ORMN-10364413-875,249,4000.0,2025-01-02,orange_money,success,OM-CM
MOMO-60370664-826,3276,15600.0,22/11/2024,mtn_momo,success,MTN557
ORMN-36092268-477,1399,-1000.0,2024/01/21,orange_money,success,OM237
ORMN-80507164-233,3205,14900.0,07/10/2025,orange_money,success,OM-CM
ORMN-40059418-216,1896,43300.0,2025/03/19,orange_money,success,ORANGE_MONEY
MOMO-66674306-454,2271,23100.0,2024-08-01,mtn_momo,success,MTN162
ORMN-32843778-943,3109,6200.0,07/12/2024,orange_money,success,OM-CM
MOMO-47425852-835,1956,3700.0,2024/08/02,mtn_momo,success,MTN484
MOMO-68006969-381,4482,14000.0,08-08-2024,mtn_momo,success,MTN583
MOMO-49504801-522,1856,4200.0,31/03/2024,mtn_momo,success,MTN672
MOMO-64617190-951,3170,7800.0,08-11-2025,mtn_momo,success,MTN430
BNKT-90790880-632,1861,42300.0,2024/10/29,bank_transfer,success,SGBC9584
MOMO-86656297-973,3814,9300.0,2024/10/08,mtn_momo,success,MTN687
CASH-15673807-644,4252,5600.0,2024/02/27,cash,success,
CASH-53429569-605,60,5800.0,26/01/2024,cash,success,
CASH-78648981-620,1810,15600.0,2024/07/10,cash,success,
ORMN-22688959-635,456,4500.0,08-04-2024,orange_money,success,OM-CM
MOMO-25111015-519,568,15500.0,2025-09-20,mtn_momo,pending,MTN143
MOMO-45610331-481,865,16900.0,2024/09/20,mtn_momo,success,MTN103
ORMN-27281381-632,3134,15900.0,2025-09-18,orange_money,success,OM52
ORMN-11268259-807,4068,39800.0,2025/06/06,orange_money,success,OM237
BNKT-60616711-414,112,6000.0,2024-08-09,bank_transfer,success,SGBC6861
ORMN-90748529-105,794,14600.0,2024-05-02,orange_money,success,OM-CM
MOMO-50308704-557,3067,30700.0,09-01-2024,mtn_momo,success,MTN102
MOMO-47585078-903,2343,4500.0,30/10/2025,mtn_momo,success,MTN913
ORMN-30215861-668,1928,18400.0,2025/11/08,orange_money,pending,OM237
ORMN-31716686-102,2722,17800.0,02/07/2025,orange_money,success,ORANGE_MONEY
MOMO-85799215-314,1935,11700.0,19/11/2025,mtn_momo,pending,MTN319
ORMN-83463319-942,744,14900.0,2024-03-01,orange_money,success,OM64
MOMO-51055751-831,627,15200.0,02-11-2025,mtn_momo,success,
MOMO-67146698-738,3201,38800.0,2025/10/12,mtn_momo,failed,MTN122
CASH-91832628-741,844,71500.0,22/10/2024,cash,failed,
MOMO-99997712-763,3803,-2300.0,2025-11-19,mtn_momo,success,MTN568
ORMN-94585195-318,2138,134400.0,2025-06-14,orange_money,success,ORANGE_MONEY
ORMN-89021423-642,3640,8600.0,2024/12/27,orange_money,pending,OM96
MOMO-12315013-806,2497,16500.0,07/08/2024,mtn_momo,success,MTN371
MOMO-77331326-170,4765,16400.0,04/02/2024,mtn_momo,success,MTN583
ORMN-65343344-357,2557,10900.0,03/07/2025,orange_money,success,ORANGE_MONEY
BNKT-12581664-834,2704,26100.0,16-05-2025,bank_transfer,success,SGBC3259
MOMO-27899374-808,3958,5000.0,03/11/2024,mtn_momo,success,MTN874
MOMO-20974429-268,134,16500.0,2025/09/26,mtn_momo,success,MTN817
ORMN-37111882-405,1795,9500.0,31-05-2024,orange_money,success,
MOMO-51113073-759,2495,12800.0,2025/10/25,mtn_momo,success,MTN478
ORMN-49809046-582,3676,16800.0,2024-04-28,orange_money,failed,OM237
MOMO-26515609-267,4055,15600.0,09/08/2025,mtn_momo,success,MTN854
ORMN-93826958-457,4730,57700.0,22-04-2024,orange_money,pending,OM-CM
CASH-19491599-395,864,15000.0,02-06-2025,cash,success,
ORMN-24945470-325,3598,7300.0,05-09-2025,orange_money,success,OM237
MOMO-19632174-714,4501,36900.0,2024/08/06,mtn_momo,failed,MTN623
CASH-16959372-945,4117,20300.0,2024/09/15,cash,pending,
MOMO-67111866-168,4130,10100.0,2025-08-08,mtn_momo,success,MTN845
MOMO-30621043-446,1588,6300.0,2024/09/24,mtn_momo,success,MTN269
MOMO-50848490-770,1986,-1500.0,24-01-2025,mtn_momo,success,MTN744
MOMO-44805664-142,488,8100.0,2024-03-23,mtn_momo,success,MTN345
BNKT-90832330-946,3099,5100.0,18-01-2025,bank_transfer,success,SGBC8343
ORMN-19725348-395,517,6200.0,04/04/2025,orange_money,success,OM-CM
MOMO-58446424-205,1753,8600.0,2024/10/06,mtn_momo,success,MTN458
CASH-85406823-695,3333,23100.0,23-04-2025,cash,success,
ORMN-71537636-631,3425,20400.0,2024/04/13,orange_money,success,OM-CM
MOMO-62762153-414,1444,17600.0,2025/08/16,mtn_momo,success,MTN535
MOMO-83218090-596,4248,5200.0,10-07-2024,mtn_momo,success,MTN144
MOMO-68147755-801,913,7900.0,2025/03/12,mtn_momo,reversed,MTN269
MOMO-84921876-183,1499,7300.0,03/07/2025,mtn_momo,success,MTN714
ORMN-23486120-560,1566,4100.0,13-07-2025,orange_money,success,OM-CM
ORMN-27816837-970,1920,9800.0,24/07/2024,orange_money,success,OM-CM
MOMO-42003679-811,4660,17700.0,2025-08-29,mtn_momo,success,MTN569
ORMN-40980844-305,1707,26900.0,12-06-2025,orange_money,success,OM237
MOMO-14223298-613,527,24700.0,2024-05-31,mtn_momo,pending,MTN697
ORMN-91624420-736,1772,4900.0,22-12-2024,orange_money,success,ORANGE_MONEY
MOMO-70891408-994,4752,4300.0,2024-02-06,mtn_momo,success,MTN837
ORMN-63704021-260,1007,7900.0,24/08/2025,orange_money,success,OM237
MOMO-90935410-965,2653,19700.0,2024/09/03,mtn_momo,success,MTN216
MOMO-44501129-976,3300,14000.0,10/01/2025,mtn_momo,success,MTN816
ORMN-25871089-858,3528,14900.0,2025-04-14,orange_money,success,OM237
MOMO-57357981-356,1515,13900.0,19-11-2025,mtn_momo,success,MTN712
MOMO-89873666-146,1400,10200.0,29/11/2024,mtn_momo,success,MTN855
ORMN-72445892-913,1282,8000.0,18/09/2025,orange_money,success,OM237
ORMN-55773825-662,378,14500.0,12-01-2024,orange_money,success,ORANGE_MONEY
MOMO-20299750-568,4778,-1100.0,04/08/2025,mtn_momo,success,MTN485
MOMO-81115762-913,2738,13500.0,2024-12-01,mtn_momo,success,MTN333
ORMN-96465055-999,3943,10300.0,06-09-2024,orange_money,success,ORANGE_MONEY
BNKT-81454205-872,4529,13300.0,2024/07/03,bank_transfer,success,SGBC8208
MOMO-69530441-238,4341,4400.0,11/02/2024,mtn_momo,success,MTN106
ORMN-74041753-932,4766,4700.0,2025-06-02,orange_money,success,OM237
ORMN-41159332-666,3009,4800.0,2024/08/04,orange_money,success,OM99
MOMO-90768728-438,1489,10600.0,01/11/2025,mtn_momo,success,MTN333
ORMN-60106369-808,2136,7500.0,22/02/2025,orange_money,reversed,OM237
MOMO-46506294-302,4764,6700.0,19-06-2025,mtn_momo,success,MTN836
ORMN-34955536-814,1037,16300.0,20-09-2025,orange_money,failed,
MOMO-44265753-908,2161,37100.0,09/08/2025,mtn_momo,success,MTN264
CASH-17964272-294,1075,46800.0,06-02-2024,cash,success,
MOMO-14713797-893,4705,16400.0,09-08-2024,mtn_momo,success,MTN485
MOMO-59533863-765,1370,15700.0,13-09-2025,mtn_momo,success,MTN162
MOMO-72834756-972,131,6600.0,2025-01-20,mtn_momo,success,MTN808
CASH-22652908-715,1112,7200.0,2025-09-29,cash,success,
MOMO-81937375-196,1541,11200.0,03-08-2025,mtn_momo,failed,MTN364
MOMO-74338240-548,128,6000.0,08-07-2025,mtn_momo,success,MTN749
MOMO-85900997-890,4413,10700.0,2024-12-22,mtn_momo,success,MTN682
MOMO-96536761-538,4212,4400.0,2025/09/29,mtn_momo,success,MTN151
ORMN-97258083-662,2823,5200.0,2025/10/11,orange_money,success,OM87
MOMO-94505182-374,997,17800.0,2024-12-02,mtn_momo,success,MTN607
MOMO-67975665-628,4726,17400.0,12/04/2024,mtn_momo,success,MTN691
BNKT-79637728-320,4264,6500.0,08-12-2024,bank_transfer,success,SGBC4270
MOMO-39476639-898,721,12800.0,22-09-2024,mtn_momo,success,MTN538
ORMN-66049057-970,1492,4100.0,05/03/2025,orange_money,success,OM-CM
MOMO-77380382-259,2050,13100.0,13/06/2024,mtn_momo,success,MTN646
ORMN-82025073-748,4224,10000.0,2024/02/09,orange_money,success,OM237
MOMO-64211991-205,3788,16300.0,2024-11-27,mtn_momo,success,MTN664
ORMN-38610234-467,1804,11900.0,2025/12/20,orange_money,success,OM237
ORMN-88455269-930,610,7000.0,15/09/2024,orange_money,success,OM-CM
MOMO-22218173-518,1080,12400.0,22/06/2025,mtn_momo,success,MTN366
ORMN-45246385-486,3425,29200.0,22/05/2024,orange_money,success,OM237
MOMO-60333903-518,2823,3700.0,27-08-2025,mtn_momo,reversed,MTN956
MOMO-75787924-801,1198,6300.0,28/03/2024,mtn_momo,success,MTN708
MOMO-40124559-438,2943,4100.0,30-11-2025,mtn_momo,success,
ORMN-74332095-478-DUP,3317,42200.0,14-02-2025,orange_money,success,OM237
ORMN-35946391-625,661,4900.0,2024-06-30,orange_money,reversed,OM-CM
MOMO-23432666-265,3652,7900.0,20-11-2025,mtn_momo,success,MTN866
MOMO-24240746-740,888,7000.0,2025/05/21,mtn_momo,success,MTN776
MOMO-67042096-939,2872,16100.0,2025/06/02,mtn_momo,reversed,MTN632
ORMN-92212967-881,1108,4700.0,16-07-2025,orange_money,failed,OM15
ORMN-34217438-736,4533,9000.0,2024/03/19,orange_money,success,ORANGE_MONEY
CASH-65473119-966,1420,137000.0,29-07-2025,cash,success,
MOMO-36840489-187,1705,17600.0,11/09/2025,mtn_momo,success,MTN797
ORMN-23722228-610,4424,0.0,23-02-2025,orange_money,success,OM84
BNKT-12277872-940,1358,138200.0,23-11-2025,bank_transfer,success,SGBC1979
ORMN-13425613-358,2973,14200.0,2025-04-26,orange_money,success,ORANGE_MONEY
ORMN-65989976-150,2368,-4600.0,2025-11-15,orange_money,success,OM-CM
ORMN-72022930-858,1009,8800.0,2025-03-05,orange_money,failed,OM24
MOMO-93629194-899,120,41700.0,14-07-2024,mtn_momo,success,MTN834
MOMO-93138733-893,950,14100.0,15/09/2024,mtn_momo,pending,MTN261
MOMO-63670891-613,2621,29700.0,2025/01/15,mtn_momo,success,MTN543
CASH-55037202-322,2253,6000.0,24/04/2024,cash,success,
CASH-24712474-841,2731,13400.0,09-06-2024,cash,success,
ORMN-29750660-253,608,30400.0,2024/05/19,orange_money,success,OM95
ORMN-14108332-417,2779,12000.0,2025/08/11,orange_money,success,OM-CM
MOMO-84765854-324,1270,7900.0,2025-03-30,mtn_momo,success,MTN598
BNKT-83035626-721,3262,3500.0,2025/08/14,bank_transfer,success,SGBC8459
ORMN-27822848-240,4151,7400.0,2024-11-07,orange_money,failed,OM12
MOMO-43266699-805,3956,17100.0,27-11-2024,mtn_momo,failed,MTN733
ORMN-20818392-183,2340,5800.0,2025-03-31,orange_money,failed,OM237
MOMO-67441808-871,2806,8800.0,16-03-2025,mtn_momo,failed,MTN705
CASH-75239198-769,1397,11200.0,2024/05/15,cash,success,
BNKT-83682755-411,4623,34200.0,2025-04-14,bank_transfer,success,SGBC9866
ORMN-37105651-793,974,15200.0,09/10/2024,orange_money,success,ORANGE_MONEY
ORMN-99209155-985,4395,36600.0,18-09-2024,orange_money,success,OM237
ORMN-72116769-611,4245,5700.0,24-09-2024,orange_money,success,OM237
CASH-46660667-897,3680,8700.0,01-03-2024,cash,success,
ORMN-83575301-893,1849,129400.0,2025-07-16,orange_money,failed,ORANGE_MONEY
CASH-87837746-285,3491,26500.0,09-06-2025,cash,pending,
ORMN-58318614-909,2766,16600.0,26/06/2025,orange_money,success,OM-CM
BNKT-69767744-289,2164,6500.0,2025-05-13,bank_transfer,success,SGBC5650
MOMO-37366348-859,2860,21700.0,15-10-2024,mtn_momo,success,MTN507
ORMN-25538474-924,2392,4300.0,2024-01-06,orange_money,success,OM237
BNKT-18093709-763,480,12200.0,23/01/2024,bank_transfer,success,SGBC8653
ORMN-45092736-326,3454,22100.0,20/06/2024,orange_money,success,OM237
MOMO-22396878-955,613,8600.0,2024-06-20,mtn_momo,failed,MTN823
ORMN-85264173-599,4064,-4200.0,14-10-2025,orange_money,success,ORANGE_MONEY
ORMN-16598796-425,1167,3800.0,11/06/2024,orange_money,success,OM237
MOMO-76149218-114,2368,40500.0,19/11/2024,mtn_momo,reversed,MTN451
ORMN-55510068-696,3143,-2400.0,30/10/2024,orange_money,success,ORANGE_MONEY
MOMO-39446733-805,1948,62200.0,2024/09/14,mtn_momo,success,MTN485
ORMN-13722721-103,2399,4800.0,2025/10/06,orange_money,success,ORANGE_MONEY
ORMN-19914079-843,1938,6700.0,27-04-2025,orange_money,success,ORANGE_MONEY
ORMN-79277591-610,738,4000.0,22-04-2024,orange_money,pending,OM-CM
MOMO-61479063-270,4666,4000.0,2025-05-27,mtn_momo,success,MTN339
ORMN-64165589-763,2249,22400.0,2024-04-12,orange_money,success,OM-CM
ORMN-92080952-719,23,148600.0,2025-07-23,orange_money,success,ORANGE_MONEY
MOMO-30459130-383,771,5000.0,2025-08-22,mtn_momo,failed,MTN985
ORMN-85565640-570,530,9400.0,02-02-2024,orange_money,success,OM237
MOMO-20165606-935,1040,15700.0,24-09-2024,mtn_momo,success,MTN700
ORMN-23872122-205,2735,4500.0,2024-09-19,orange_money,success,OM72
MOMO-63719476-840,3710,31300.0,2024-11-21,mtn_momo,success,MTN742
MOMO-50790594-913,3089,5500.0,2024-10-14,mtn_momo,success,MTN170
BNKT-51801639-850,3844,17000.0,2025/06/10,bank_transfer,success,SGBC9911
MOMO-56554917-631,2686,4700.0,2025-10-01,mtn_momo,success,MTN730
ORMN-56892110-930,3212,10100.0,02/03/2025,orange_money,success,ORANGE_MONEY
CASH-64542394-554,2265,48200.0,2024/11/15,cash,success,
ORMN-50517230-346,2033,7300.0,25/04/2024,orange_money,success,OM24
ORMN-65879528-929,3935,117000.0,2024/02/04,orange_money,success,OM-CM
MOMO-29811702-207,3224,34600.0,2024/09/25,mtn_momo,success,MTN621
MOMO-93772615-287,2924,12600.0,2025-12-15,mtn_momo,success,MTN629
CASH-72810850-457,4787,5800.0,26/05/2025,cash,success,
CASH-96256122-595,1387,22700.0,23-07-2025,cash,failed,
MOMO-40401911-114,443,20200.0,2024-09-12,mtn_momo,pending,MTN896
CASH-43478837-668,4570,22900.0,2025/06/23,cash,failed,
ORMN-82930764-170,1481,5900.0,15-11-2024,orange_money,success,ORANGE_MONEY
MOMO-62216451-367,4737,6200.0,2025/10/25,mtn_momo,success,MTN309
CASH-66753347-725,3183,17800.0,2024-06-26,cash,success,
CASH-99933425-504,3014,7900.0,2024/08/24,cash,success,
ORMN-56665145-216,459,13900.0,2025/10/02,orange_money,success,OM75
ORMN-11113696-454,681,16100.0,2024-02-06,orange_money,pending,OM-CM
ORMN-90937293-956,4202,15000.0,14/06/2024,orange_money,pending,OM78
ORMN-13600900-105,3531,6900.0,03/11/2025,orange_money,success,ORANGE_MONEY
MOMO-38722378-687,336,29600.0,16/10/2025,mtn_momo,success,MTN953
MOMO-23733158-293,2041,42500.0,17-02-2024,mtn_momo,success,MTN157
MOMO-22311536-347,1061,6100.0,13/04/2025,mtn_momo,success,MTN201
ORMN-68567062-157,687,3800.0,04/09/2025,orange_money,success,ORANGE_MONEY
MOMO-33235335-855,278,77900.0,2025-10-27,mtn_momo,success,MTN453
CASH-40707090-268,4411,102900.0,23/04/2025,cash,success,
MOMO-38473924-611,2396,26300.0,2025-04-04,mtn_momo,success,MTN133
MOMO-74360844-865,4744,11700.0,16-04-2024,mtn_momo,success,MTN301
CASH-93984080-300,2512,7400.0,18/07/2024,cash,success,
MOMO-53661138-963,4769,13300.0,2024/03/27,mtn_momo,success,MTN143
CASH-83476458-708,2347,5300.0,2025/04/24,cash,success,
ORMN-98492847-354,2983,4300.0,2025-09-17,orange_money,success,OM22
ORMN-63600341-701,1536,5100.0,2025-06-28,orange_money,success,OM85
MOMO-49762929-575,4714,14500.0,2024-09-15,mtn_momo,success,MTN489
ORMN-45127128-543,4400,3700.0,17-08-2024,orange_money,success,OM-CM
ORMN-24819364-631,2723,16600.0,2025-12-28,orange_money,success,ORANGE_MONEY
MOMO-44945356-999,2446,8000.0,2025-12-19,mtn_momo,success,MTN675
MOMO-29873764-261,2471,5700.0,2024/02/07,mtn_momo,success,MTN301
ORMN-35232447-950,3581,4800.0,2025/05/11,orange_money,success,OM34
ORMN-96050103-900,635,17900.0,2024-02-20,orange_money,success,OM237
MOMO-93615366-341,245,48000.0,2024-05-31,mtn_momo,success,MTN873
MOMO-27204735-345,2933,27300.0,11/02/2025,mtn_momo,reversed,MTN310
CASH-19166346-733,3491,38200.0,11-11-2024,cash,success,
MOMO-49765601-650,3850,13000.0,23-08-2025,mtn_momo,success,MTN232
MOMO-26316966-925,1729,8000.0,2025/08/03,mtn_momo,success,MTN535
MOMO-81345279-684,2983,5200.0,02-09-2025,mtn_momo,reversed,MTN239
BNKT-33730992-650,2819,131300.0,22-01-2024,bank_transfer,success,SGBC3402
MOMO-18814341-334,3745,28300.0,19/02/2024,mtn_momo,success,MTN915
ORMN-99525225-711,3687,128100.0,03-04-2024,orange_money,success,OM237
MOMO-91904391-744,514,10300.0,13-08-2024,mtn_momo,failed,MTN362
MOMO-51635471-838,1159,26900.0,07/12/2025,mtn_momo,success,MTN217
ORMN-99595027-254,3917,31500.0,2025/01/18,orange_money,success,OM237
ORMN-86671255-805,2245,14500.0,2024/07/22,orange_money,success,OM237
MOMO-53263373-803,1281,17500.0,13-08-2024,mtn_momo,success,MTN832
MOMO-12177623-368,2575,16900.0,2024-03-06,mtn_momo,success,MTN610
ORMN-79581829-978,949,4000.0,2025-09-18,orange_money,failed,OM52
ORMN-51955814-780,1871,35700.0,2025/06/12,orange_money,success,OM13
ORMN-21858014-143,648,-1700.0,2025-08-19,orange_money,success,OM-CM
ORMN-75985468-504,399,17100.0,2025/04/04,orange_money,success,OM32
MOMO-45559526-730,2997,10900.0,13-03-2024,mtn_momo,success,MTN637
MOMO-89474399-729,951,17500.0,27-12-2024,mtn_momo,success,MTN208
CASH-30561530-793,3373,7500.0,2025/10/01,cash,pending,
MOMO-75651941-275,1645,8100.0,01/06/2024,mtn_momo,success,MTN744
ORMN-83813234-102,4749,24700.0,2024-09-07,orange_money,success,OM-CM
ORMN-34114422-972,510,14100.0,2025/09/29,orange_money,success,OM-CM
MOMO-10508067-546,352,5700.0,30/04/2024,mtn_momo,success,MTN627
MOMO-13670740-883,3209,30300.0,23-08-2025,mtn_momo,success,MTN813
MOMO-29418566-751,1504,6200.0,27-07-2024,mtn_momo,success,
BNKT-91036554-936,3428,12100.0,2024-12-24,bank_transfer,success,SGBC4702
BNKT-31429712-297,655,17800.0,2025/07/14,bank_transfer,success,SGBC8825
CASH-53345883-894,1478,4400.0,2025/12/20,cash,success,
ORMN-90212282-250,1352,12100.0,27-02-2025,orange_money,success,OM11
MOMO-31002059-123,3497,6100.0,15-12-2024,mtn_momo,success,MTN679
ORMN-90388710-873,3949,0.0,22-05-2025,orange_money,success,ORANGE_MONEY
MOMO-55568983-472,3445,20300.0,2024/11/30,mtn_momo,success,MTN947
MOMO-30232817-323,3654,6400.0,2024-08-21,mtn_momo,reversed,MTN529
CASH-36907227-163,3808,30000.0,01/12/2024,cash,pending,
MOMO-81949809-568,3480,-4500.0,2024/05/20,mtn_momo,success,MTN660
ORMN-30127589-804,1039,15300.0,2024/12/07,orange_money,success,OM97
ORMN-45059332-309,1878,17200.0,2025/06/01,orange_money,pending,ORANGE_MONEY
CASH-31284448-272,2529,6600.0,06/11/2025,cash,failed,
MOMO-76906570-687,1166,4400.0,02/06/2024,mtn_momo,success,MTN898
MOMO-93421256-473,2974,29700.0,2024-02-03,mtn_momo,success,MTN522
MOMO-77486592-908,2039,8500.0,05/08/2024,mtn_momo,success,MTN920
MOMO-74372506-894,4194,12400.0,2024/03/16,mtn_momo,pending,MTN587
CASH-87662662-889,1851,23300.0,2025/03/19,cash,reversed,
ORMN-35475189-239,2681,4000.0,2025/10/09,orange_money,success,OM237
ORMN-77637436-361,3712,14700.0,2024-08-26,orange_money,success,OM54
ORMN-66591019-239,1109,4200.0,31/01/2025,orange_money,success,OM237
MOMO-36211697-458,1106,15100.0,2025-05-16,mtn_momo,pending,MTN849
ORMN-30480770-429,4209,27300.0,2025/01/09,orange_money,failed,OM37
MOMO-61609782-242,2059,13800.0,2025-11-27,mtn_momo,failed,MTN542
ORMN-93870478-120,861,4600.0,28/03/2024,orange_money,success,OM-CM
MOMO-70492333-941,1351,10600.0,20-09-2024,mtn_momo,failed,MTN381
ORMN-74289006-830,3888,7500.0,11-06-2024,orange_money,success,OM78
MOMO-46659192-853,1805,6400.0,01/12/2024,mtn_momo,success,MTN771
ORMN-40269171-714,3707,35800.0,2024-05-29,orange_money,success,OM237
ORMN-37372388-522,4421,11900.0,2025/07/26,orange_money,failed,OM-CM
BNKT-15877719-352,3968,4400.0,06/04/2024,bank_transfer,success,SGBC8654
ORMN-16969222-368,231,62600.0,2024/11/06,orange_money,success,OM78
BNKT-56812529-959,150,7800.0,14/02/2024,bank_transfer,success,SGBC3521
ORMN-34603440-969,334,4400.0,2024/12/14,orange_money,failed,OM-CM
MOMO-79343831-838,2723,12000.0,21/08/2024,mtn_momo,success,MTN804
ORMN-68660816-544,4232,-4600.0,2024-04-22,orange_money,success,
ORMN-89346184-874,4228,16200.0,2025/07/09,orange_money,success,OM-CM
CASH-14583418-120,2642,3800.0,2024/04/07,cash,success,
CASH-59046657-827,1539,13100.0,07/03/2024,cash,success,
CASH-65879161-373,4313,8400.0,06-01-2025,cash,success,
ORMN-25331096-371,1217,16600.0,2024-03-23,orange_money,success,OM-CM
ORMN-27435838-925,4303,43700.0,2024-07-20,orange_money,success,OM24
CASH-33566080-628,330,6100.0,2025/07/02,cash,success,
MOMO-54161873-903,2893,6100.0,09-04-2024,mtn_momo,success,MTN116
MOMO-32123428-117,2380,4600.0,2024-12-26,mtn_momo,pending,MTN981
CASH-99792885-358,3639,4300.0,2024-04-24,cash,success,
MOMO-62118563-533,2151,6300.0,29/09/2024,mtn_momo,success,MTN475
ORMN-24758267-591,1029,7000.0,2025-05-03,orange_money,success,OM41
CASH-53730841-910,2983,4600.0,2024-09-19,cash,success,
ORMN-65343772-844,1721,128000.0,01/05/2025,orange_money,success,OM67
MOMO-24439649-540,1130,15500.0,14-08-2024,mtn_momo,failed,MTN738
MOMO-72305607-109,689,5600.0,08-04-2024,mtn_momo,success,MTN511
MOMO-34676986-259,3506,7100.0,2024/11/24,mtn_momo,reversed,MTN736
ORMN-61142606-512,4487,35200.0,16-09-2025,orange_money,success,OM237
CASH-16264636-362,2007,10700.0,03/11/2024,cash,failed,
MOMO-80000599-472,1475,118500.0,2024-10-17,mtn_momo,success,MTN554
ORMN-67484643-713,3662,20000.0,02/06/2025,orange_money,success,ORANGE_MONEY
ORMN-97570939-892,519,12000.0,25/09/2024,orange_money,pending,OM237
ORMN-56831008-606,2272,43200.0,03-09-2025,orange_money,success,OM39
ORMN-64810978-496,1830,71900.0,01-11-2024,orange_money,success,OM77
ORMN-22099301-479,1597,5700.0,19-09-2025,orange_money,success,OM81
ORMN-18650185-701,794,13500.0,2024/04/14,orange_money,success,OM237
ORMN-45912819-949,3721,6900.0,2025/07/26,orange_money,success,ORANGE_MONEY
MOMO-87490391-177,4484,15200.0,03/03/2024,mtn_momo,success,MTN295
MOMO-91444811-971,2102,31500.0,2025/04/13,mtn_momo,success,MTN982
ORMN-92328669-927,3983,3900.0,17/12/2025,orange_money,success,ORANGE_MONEY
ORMN-92425163-556,965,5700.0,2025-09-05,orange_money,pending,OM-CM
BNKT-95569622-599,4464,-4300.0,30-03-2024,bank_transfer,failed,SGBC9498
ORMN-30149054-865,4677,6300.0,2024-10-15,orange_money,success,OM62
MOMO-99136784-148,3005,8300.0,23/05/2025,mtn_momo,success,MTN536
ORMN-53596431-566,2560,16700.0,03/07/2025,orange_money,success,ORANGE_MONEY
MOMO-94114217-407,1314,5200.0,2024/05/22,mtn_momo,failed,MTN864
CASH-40910273-170,27,4800.0,05-03-2024,cash,success,
ORMN-23124892-383,4112,11400.0,24-08-2025,orange_money,success,OM-CM
MOMO-66087114-486,758,9900.0,2024-12-12,mtn_momo,failed,MTN227
CASH-96431940-567,606,8200.0,2025/08/07,cash,pending,
ORMN-88668590-892,2166,7200.0,2025-04-01,orange_money,success,OM-CM
ORMN-95961190-301,4056,27100.0,25/05/2024,orange_money,success,OM237
MOMO-93597907-239,2826,17800.0,03/06/2025,mtn_momo,success,MTN901
MOMO-48827305-907,3328,6800.0,01-06-2024,mtn_momo,success,MTN210
ORMN-29617294-979,1388,6200.0,2025-01-02,orange_money,success,OM-CM
ORMN-14032180-221,2670,80500.0,2024/09/22,orange_money,success,OM48
MOMO-27507978-584,3298,18000.0,2025-04-20,mtn_momo,success,MTN337
MOMO-28767484-811,3671,8400.0,14-10-2024,mtn_momo,success,MTN492
