source_id,source_type,target_id,target_type,relation,date,weight
DIST-029,distributor,79,installation,SOLD,2023/02/06,
DIST-025,distributor,80,installation,SOLD,29/08/2023,
DIST-032,distributor,81,installation,SOLD,2021/03/28,
DIST-005,distributor,82,installation,SOLD,2022/06/02,
DIST-032,distributor,83,installation,SOLD,20/06/2020,
DIST-011,distributor,84,installation,SOLD,29/05/2020,
DIST-010,distributor,85,installation,SOLD,2023-09-02,
DIST-010,distributor,86,installation,SOLD,29-04-2022,
DIST-029,distributor,87,installation,SOLD,2025/02/28,
DIST-016,distributor,88,installation,SOLD,2023/03/21,
DIST-001,distributor,89,installation,SOLD,31-07-2020,
DIST-013,distributor,90,installation,SOLD,29/04/2021,
DIST-006,distributor,91,installation,SOLD,11-12-2022,
DIST-017,distributor,92,installation,SOLD,2024/04/06,
DIST-024,distributor,93,installation,SOLD,09/07/2023,
DIST-007,distributor,94,installation,SOLD,04/03/2024,
DIST-008,distributor,95,installation,SOLD,2020/06/24,
DIST-024,distributor,96,installation,SOLD,04-10-2024,
DIST-024,distributor,97,installation,SOLD,2023-12-12,
DIST-026,distributor,98,installation,SOLD,15-03-2021,
DIST-014,distributor,99,installation,SOLD,2024-11-16,
DIST-009,distributor,100,installation,SOLD,25/08/2021,
DIST-012,distributor,101,installation,SOLD,29-03-2021,
DIST-033,distributor,102,installation,SOLD,25/05/2025,
DIST-032,distributor,103,installation,SOLD,09/12/2023,
DIST-034,distributor,104,installation,SOLD,18-06-2024,
DIST-026,distributor,105,installation,SOLD,2020/12/21,
DIST-006,distributor,106,installation,SOLD,2020/12/26,
DIST-027,distributor,107,installation,SOLD,06/10/2023,
DIST-010,distributor,108,installation,SOLD,26/01/2022,
DIST-036,distributor,109,installation,SOLD,20/05/2025,
DIST-001,distributor,110,installation,SOLD,20-05-2021,
DIST-027,distributor,111,installation,SOLD,2021/07/03,
DIST-010,distributor,112,installation,SOLD,02/08/2020,
DIST-014,distributor,113,installation,SOLD,2021/02/17,
DIST-026,distributor,114,installation,SOLD,18/08/2020,
DIST-019,distributor,115,installation,SOLD,25-03-2020,
DIST-023,distributor,116,installation,SOLD,10-07-2020,
DIST-019,distributor,117,installation,SOLD,2020/05/04,
DIST-038,distributor,118,installation,SOLD,31-10-2020,
DIST-034,distributor,119,installation,SOLD,2023/02/19,
DIST-010,distributor,120,installation,SOLD,2020-10-21,
DIST-021,distributor,121,installation,SOLD,2022-11-08,
DIST-004,distributor,122,installation,SOLD,2020/10/17,
DIST-033,distributor,123,installation,SOLD,06/02/2025,
DIST-004,distributor,124,installation,SOLD,01/02/2023,
DIST-011,distributor,125,installation,SOLD,27-07-2022,
DIST-005,distributor,126,installation,SOLD,28-11-2024,
DIST-006,distributor,127,installation,SOLD,2021/05/14,
DIST-025,distributor,128,installation,SOLD,2022-12-16,
DIST-014,distributor,129,installation,SOLD,2024-04-19,
DIST-022,distributor,130,installation,SOLD,12-04-2021,
DIST-024,distributor,131,installation,SOLD,08-03-2022,
DIST-037,distributor,132,installation,SOLD,2024/02/03,
DIST-004,distributor,133,installation,SOLD,28/04/2023,
DIST-028,distributor,134,installation,SOLD,19-01-2022,
DIST-033,distributor,135,installation,SOLD,13/06/2023,
DIST-003,distributor,136,installation,SOLD,2024-03-07,
DIST-036,distributor,137,installation,SOLD,05-05-2025,
DIST-030,distributor,138,installation,SOLD,31/05/2024,
DIST-037,distributor,139,installation,SOLD,2020/11/21,
DIST-002,distributor,140,installation,SOLD,2020/09/26,
DIST-022,distributor,141,installation,SOLD,26-08-2021,
DIST-013,distributor,142,installation,SOLD,10/11/2021,
DIST-003,distributor,143,installation,SOLD,2021/10/15,
DIST-024,distributor,144,installation,SOLD,26-07-2023,
DIST-018,distributor,145,installation,SOLD,10/10/2023,
DIST-019,distributor,146,installation,SOLD,16-04-2025,
DIST-004,distributor,147,installation,SOLD,2023/08/15,
DIST-024,distributor,148,installation,SOLD,27/12/2024,
DIST-024,distributor,149,installation,SOLD,2022-07-14,
DIST-017,distributor,150,installation,SOLD,2021/12/27,
DIST-006,distributor,151,installation,SOLD,2022/11/18,
DIST-015,distributor,152,installation,SOLD,2021-11-15,
DIST-036,distributor,153,installation,SOLD,23/11/2020,
DIST-021,distributor,154,installation,SOLD,29-12-2023,
DIST-008,distributor,155,installation,SOLD,2022-10-01,
DIST-013,distributor,156,installation,SOLD,2024/11/06,
DIST-022,distributor,157,installation,SOLD,16/12/2024,
DIST-037,distributor,158,installation,SOLD,03-06-2020,
DIST-005,distributor,159,installation,SOLD,05-07-2021,
DIST-021,distributor,160,installation,SOLD,07-02-2023,
DIST-018,distributor,161,installation,SOLD,12/05/2021,
DIST-021,distributor,162,installation,SOLD,09-07-2021,
DIST-030,distributor,163,installation,SOLD,2021/12/29,
DIST-001,distributor,164,installation,SOLD,2023-10-30,
DIST-036,distributor,165,installation,SOLD,2024/11/13,
DIST-007,distributor,166,installation,SOLD,2023/01/18,
DIST-031,distributor,167,installation,SOLD,2021-06-06,
DIST-022,distributor,168,installation,SOLD,01-07-2024,
DIST-020,distributor,169,installation,SOLD,22-05-2020,
DIST-034,distributor,170,installation,SOLD,2023-05-26,
DIST-002,distributor,171,installation,SOLD,2023-09-23,
DIST-014,distributor,172,installation,SOLD,26-03-2024,
DIST-023,distributor,173,installation,SOLD,31-05-2022,
DIST-032,distributor,174,installation,SOLD,2023/02/17,
DIST-003,distributor,175,installation,SOLD,2020/11/01,
DIST-018,distributor,176,installation,SOLD,2025-05-26,
DIST-027,distributor,177,installation,SOLD,07/03/2024,
DIST-019,distributor,178,installation,SOLD,31/08/2020,
DIST-012,distributor,179,installation,SOLD,17/08/2022,
DIST-034,distributor,180,installation,SOLD,21-04-2021,
DIST-001,distributor,181,installation,SOLD,2022-09-03,
DIST-009,distributor,182,installation,SOLD,10/04/2022,
DIST-037,distributor,183,installation,SOLD,2023-03-23,
DIST-008,distributor,184,installation,SOLD,2022/09/03,
DIST-036,distributor,185,installation,SOLD,2024-09-26,
DIST-008,distributor,186,installation,SOLD,2024-10-27,
DIST-033,distributor,187,installation,SOLD,20-08-2020,
DIST-004,distributor,188,installation,SOLD,14/10/2022,
DIST-035,distributor,189,installation,SOLD,01-10-2020,
DIST-029,distributor,190,installation,SOLD,17-05-2023,
DIST-009,distributor,191,installation,SOLD,21/01/2022,
DIST-030,distributor,192,installation,SOLD,2022-07-05,
DIST-003,distributor,193,installation,SOLD,2020-07-30,
DIST-033,distributor,194,installation,SOLD,2022/02/26,
DIST-020,distributor,195,installation,SOLD,2024-11-24,
DIST-027,distributor,196,installation,SOLD,18-09-2022,
DIST-010,distributor,197,installation,SOLD,27-08-2020,
DIST-022,distributor,198,installation,SOLD,2023/12/28,
DIST-025,distributor,199,installation,SOLD,17/04/2025,
DIST-013,distributor,200,installation,SOLD,28-02-2021,
DIST-016,distributor,201,installation,SOLD,28-07-2022,
DIST-030,distributor,202,installation,SOLD,2024/02/27,
DIST-002,distributor,203,installation,SOLD,17-02-2025,
DIST-036,distributor,204,installation,SOLD,2023/01/13,
DIST-035,distributor,205,installation,SOLD,10/10/2024,
DIST-010,distributor,206,installation,SOLD,19-06-2024,
DIST-002,distributor,207,installation,SOLD,2022/07/02,
DIST-013,distributor,208,installation,SOLD,2022/04/24,
DIST-030,distributor,209,installation,SOLD,2022/01/31,
DIST-001,distributor,210,installation,SOLD,12-11-2020,
DIST-037,distributor,211,installation,SOLD,23/07/2020,
DIST-038,distributor,212,installation,SOLD,21/07/2023,
DIST-009,distributor,213,installation,SOLD,2020/10/30,
DIST-002,distributor,214,installation,SOLD,30-12-2023,
DIST-019,distributor,215,installation,SOLD,15/10/2020,
DIST-007,distributor,216,installation,SOLD,14-10-2022,
DIST-036,distributor,217,installation,SOLD,20/08/2023,
DIST-001,distributor,218,installation,SOLD,18/06/2023,
DIST-032,distributor,219,installation,SOLD,02-08-2021,
DIST-013,distributor,220,installation,SOLD,2021/04/25,
DIST-009,distributor,221,installation,SOLD,2025-04-18,
DIST-016,distributor,222,installation,SOLD,19-07-2022,
DIST-014,distributor,223,installation,SOLD,23/08/2022,
DIST-010,distributor,224,installation,SOLD,16/05/2023,
DIST-003,distributor,225,installation,SOLD,23/03/2023,
DIST-026,distributor,226,installation,SOLD,26-12-2022,
DIST-038,distributor,227,installation,SOLD,16-01-2022,
DIST-019,distributor,228,installation,SOLD,22/11/2020,
DIST-023,distributor,229,installation,SOLD,22-11-2023,
DIST-007,distributor,230,installation,SOLD,2021-07-24,
DIST-036,distributor,231,installation,SOLD,2024-02-04,
DIST-013,distributor,232,installation,SOLD,26-10-2023,
DIST-012,distributor,233,installation,SOLD,03-11-2021,
DIST-008,distributor,234,installation,SOLD,2024-01-22,
DIST-016,distributor,235,installation,SOLD,2021/09/20,
DIST-032,distributor,236,installation,SOLD,2021-08-21,
DIST-001,distributor,237,installation,SOLD,28-10-2021,
DIST-006,distributor,238,installation,SOLD,2022/01/15,
DIST-033,distributor,239,installation,SOLD,2021/02/18,
DIST-035,distributor,240,installation,SOLD,12/10/2023,
DIST-008,distributor,241,installation,SOLD,2022-03-07,
DIST-004,distributor,242,installation,SOLD,2024/09/09,
DIST-009,distributor,243,installation,SOLD,31/08/2023,
DIST-026,distributor,244,installation,SOLD,2025/01/27,
DIST-018,distributor,245,installation,SOLD,21-04-2023,
DIST-005,distributor,246,installation,SOLD,2023-07-19,
DIST-032,distributor,247,installation,SOLD,29/07/2020,
DIST-013,distributor,248,installation,SOLD,2021/04/14,
DIST-004,distributor,249,installation,SOLD,2022-10-06,
DIST-009,distributor,250,installation,SOLD,31-07-2024,
DIST-015,distributor,251,installation,SOLD,13/01/2021,
DIST-034,distributor,252,installation,SOLD,2025-05-10,
DIST-006,distributor,253,installation,SOLD,10/05/2021,
DIST-016,distributor,254,installation,SOLD,2025/04/08,
DIST-033,distributor,255,installation,SOLD,2023/07/01,
DIST-005,distributor,256,installation,SOLD,2020/04/07,
DIST-005,distributor,257,installation,SOLD,26/09/2020,
DIST-028,distributor,258,installation,SOLD,2020-11-12,
DIST-021,distributor,259,installation,SOLD,2020/09/22,
DIST-004,distributor,260,installation,SOLD,28/08/2021,
DIST-017,distributor,261,installation,SOLD,2021/03/30,
DIST-037,distributor,262,installation,SOLD,20-05-2024,
DIST-037,distributor,263,installation,SOLD,2021-02-22,
DIST-016,distributor,264,installation,SOLD,05-04-2023,
DIST-021,distributor,265,installation,SOLD,2020/10/28,
DIST-030,distributor,266,installation,SOLD,2022/10/22,
DIST-019,distributor,267,installation,SOLD,2022-10-01,
DIST-001,distributor,268,installation,SOLD,2020-05-14,
DIST-014,distributor,269,installation,SOLD,10-03-2022,
DIST-027,distributor,270,installation,SOLD,02-05-2023,
DIST-037,distributor,271,installation,SOLD,2021-04-11,
DIST-018,distributor,272,installation,SOLD,2021-11-20,
DIST-008,distributor,273,installation,SOLD,06-12-2021,
DIST-021,distributor,274,installation,SOLD,2022/04/11,
DIST-012,distributor,275,installation,SOLD,09-08-2023,
DIST-015,distributor,276,installation,SOLD,2023/07/28,
DIST-006,distributor,277,installation,SOLD,26/12/2022,
DIST-002,distributor,278,installation,SOLD,2023-10-17,
DIST-016,distributor,279,installation,SOLD,29-05-2024,
DIST-034,distributor,280,installation,SOLD,15/10/2024,
DIST-025,distributor,281,installation,SOLD,2020/05/20,
DIST-023,distributor,282,installation,SOLD,2022-02-22,
DIST-025,distributor,283,installation,SOLD,2021-08-22,
DIST-013,distributor,284,installation,SOLD,2024/05/08,
DIST-034,distributor,285,installation,SOLD,2022-12-26,
DIST-010,distributor,286,installation,SOLD,2024/08/22,
DIST-011,distributor,287,installation,SOLD,18-11-2023,
DIST-020,distributor,288,installation,SOLD,2022-09-02,
DIST-021,distributor,289,installation,SOLD,2025-05-13,
DIST-021,distributor,290,installation,SOLD,2020/12/01,
DIST-005,distributor,291,installation,SOLD,30/01/2021,
DIST-035,distributor,292,installation,SOLD,2024-03-29,
DIST-007,distributor,293,installation,SOLD,11-08-2021,
DIST-028,distributor,294,installation,SOLD,26-07-2021,
DIST-035,distributor,295,installation,SOLD,2022/07/23,
DIST-004,distributor,296,installation,SOLD,20/10/2023,
DIST-031,distributor,297,installation,SOLD,15-10-2022,
DIST-024,distributor,298,installation,SOLD,2023-04-22,
DIST-004,distributor,299,installation,SOLD,26/12/2020,
DIST-027,distributor,300,installation,SOLD,2024-03-15,
DIST-034,distributor,301,installation,SOLD,02/06/2021,
DIST-028,distributor,302,installation,SOLD,2021/06/03,
DIST-034,distributor,303,installation,SOLD,08-04-2020,
DIST-037,distributor,304,installation,SOLD,2022/08/06,
DIST-012,distributor,305,installation,SOLD,21-05-2021,
DIST-002,distributor,306,installation,SOLD,2022/09/28,
DIST-018,distributor,307,installation,SOLD,23/04/2025,
DIST-004,distributor,308,installation,SOLD,07/07/2021,
DIST-013,distributor,309,installation,SOLD,14/11/2021,
DIST-030,distributor,310,installation,SOLD,20/03/2021,
DIST-011,distributor,311,installation,SOLD,13/05/2022,
DIST-014,distributor,312,installation,SOLD,25/08/2023,
DIST-020,distributor,313,installation,SOLD,04-07-2022,
DIST-030,distributor,314,installation,SOLD,04-08-2024,
DIST-007,distributor,315,installation,SOLD,2023/01/09,
DIST-004,distributor,316,installation,SOLD,08-04-2025,
DIST-027,distributor,317,installation,SOLD,2020-06-18,
DIST-011,distributor,318,installation,SOLD,2024-11-29,
DIST-006,distributor,319,installation,SOLD,2022/01/23,
DIST-031,distributor,320,installation,SOLD,16/02/2025,
DIST-013,distributor,321,installation,SOLD,03-01-2025,
DIST-004,distributor,322,installation,SOLD,2022-06-28,
DIST-026,distributor,323,installation,SOLD,23-03-2024,
DIST-034,distributor,324,installation,SOLD,2020-03-13,
DIST-020,distributor,325,installation,SOLD,2020/07/21,
DIST-023,distributor,326,installation,SOLD,26-07-2021,
DIST-008,distributor,327,installation,SOLD,25-06-2020,
DIST-008,distributor,328,installation,SOLD,26/05/2023,
DIST-007,distributor,329,installation,SOLD,2022-06-17,
DIST-013,distributor,330,installation,SOLD,2022-05-27,
DIST-032,distributor,331,installation,SOLD,2024/04/02,
DIST-033,distributor,332,installation,SOLD,2021/01/09,
DIST-003,distributor,333,installation,SOLD,2023/03/25,
DIST-023,distributor,334,installation,SOLD,12/06/2022,
DIST-025,distributor,335,installation,SOLD,25-03-2024,
DIST-031,distributor,336,installation,SOLD,2023-11-22,
DIST-029,distributor,337,installation,SOLD,2022/05/22,
DIST-034,distributor,338,installation,SOLD,21-12-2020,
DIST-011,distributor,339,installation,SOLD,27-02-2024,
DIST-015,distributor,340,installation,SOLD,21-05-2023,
DIST-029,distributor,341,installation,SOLD,24/05/2024,
DIST-020,distributor,342,installation,SOLD,2024-12-12,
DIST-031,distributor,343,installation,SOLD,03-04-2023,
DIST-023,distributor,344,installation,SOLD,2022/08/25,
DIST-013,distributor,345,installation,SOLD,2023-07-04,
DIST-030,distributor,346,installation,SOLD,2024-06-14,
DIST-012,distributor,347,installation,SOLD,2021-08-22,
DIST-026,distributor,348,installation,SOLD,31-08-2022,
DIST-036,distributor,349,installation,SOLD,2024-11-14,
DIST-035,distributor,350,installation,SOLD,27/11/2022,
DIST-001,distributor,351,installation,SOLD,18-05-2020,
DIST-010,distributor,352,installation,SOLD,2022-09-03,
DIST-036,distributor,353,installation,SOLD,08-12-2024,
DIST-025,distributor,354,installation,SOLD,28/10/2022,
DIST-029,distributor,355,installation,SOLD,2023-04-17,
DIST-033,distributor,356,installation,SOLD,05-07-2020,
DIST-022,distributor,357,installation,SOLD,24/06/2021,
DIST-021,distributor,358,installation,SOLD,23/09/2021,
DIST-022,distributor,359,installation,SOLD,2022-08-30,
DIST-016,distributor,360,installation,SOLD,23-11-2022,
DIST-033,distributor,361,installation,SOLD,2020/07/15,
DIST-014,distributor,362,installation,SOLD,23-12-2021,
DIST-030,distributor,363,installation,SOLD,26/06/2020,
DIST-005,distributor,364,installation,SOLD,2022/02/06,
DIST-008,distributor,365,installation,SOLD,13/09/2020,
DIST-006,distributor,366,installation,SOLD,20-11-2023,
DIST-035,distributor,367,installation,SOLD,2023/06/28,
DIST-036,distributor,368,installation,SOLD,14/05/2021,
DIST-014,distributor,369,installation,SOLD,2023-02-02,
DIST-012,distributor,370,installation,SOLD,2022-04-25,
DIST-005,distributor,371,installation,SOLD,04-11-2021,
DIST-021,distributor,372,installation,SOLD,2022/12/16,
DIST-015,distributor,373,installation,SOLD,2023/11/15,
DIST-029,distributor,374,installation,SOLD,06-10-2022,
DIST-005,distributor,375,installation,SOLD,27/04/2020,
DIST-024,distributor,376,installation,SOLD,2025/03/06,
DIST-026,distributor,377,installation,SOLD,2020-04-02,
DIST-023,distributor,378,installation,SOLD,2024-04-24,
DIST-025,distributor,379,installation,SOLD,12/01/2024,
DIST-025,distributor,380,installation,SOLD,2020/10/28,
DIST-001,distributor,381,installation,SOLD,06-05-2021,
DIST-024,distributor,382,installation,SOLD,2021-03-03,
DIST-038,distributor,383,installation,SOLD,29/08/2023,
DIST-010,distributor,384,installation,SOLD,2022-05-12,
DIST-029,distributor,385,installation,SOLD,04-03-2024,
DIST-011,distributor,386,installation,SOLD,29-01-2023,
DIST-025,distributor,387,installation,SOLD,2020-04-21,
DIST-033,distributor,388,installation,SOLD,15-12-2020,
DIST-015,distributor,389,installation,SOLD,06-04-2024,
DIST-015,distributor,390,installation,SOLD,2020/11/16,
DIST-034,distributor,391,installation,SOLD,2021/11/29,
DIST-035,distributor,392,installation,SOLD,2023/04/11,
DIST-020,distributor,393,installation,SOLD,2023-07-20,
DIST-007,distributor,394,installation,SOLD,2023/07/28,
DIST-028,distributor,395,installation,SOLD,2022-05-27,
DIST-004,distributor,396,installation,SOLD,27-08-2021,
DIST-013,distributor,397,installation,SOLD,2025-04-06,
DIST-018,distributor,398,installation,SOLD,03-03-2023,
DIST-019,distributor,399,installation,SOLD,2024/12/02,
DIST-012,distributor,400,installation,SOLD,25/01/2021,
DIST-025,distributor,401,installation,SOLD,2022/03/26,
DIST-025,distributor,402,installation,SOLD,2022-01-14,
DIST-006,distributor,403,installation,SOLD,27/01/2023,
DIST-013,distributor,404,installation,SOLD,2021-11-11,
DIST-007,distributor,405,installation,SOLD,30-10-2020,
DIST-024,distributor,406,installation,SOLD,2024/05/08,
DIST-028,distributor,407,installation,SOLD,06/10/2024,
DIST-001,distributor,408,installation,SOLD,15-12-2021,
DIST-018,distributor,409,installation,SOLD,2025/05/18,
DIST-026,distributor,410,installation,SOLD,2021-09-10,
DIST-010,distributor,411,installation,SOLD,08-06-2021,
DIST-034,distributor,412,installation,SOLD,06-11-2022,
DIST-014,distributor,413,installation,SOLD,20/03/2024,
DIST-002,distributor,414,installation,SOLD,2023-02-24,
DIST-006,distributor,415,installation,SOLD,08-08-2022,
DIST-037,distributor,416,installation,SOLD,08/10/2020,
DIST-026,distributor,417,installation,SOLD,2023/12/13,
DIST-011,distributor,418,installation,SOLD,2020-05-11,
DIST-026,distributor,419,installation,SOLD,15-09-2020,
DIST-006,distributor,420,installation,SOLD,26/06/2021,
DIST-019,distributor,421,installation,SOLD,2021-03-28,
DIST-018,distributor,422,installation,SOLD,2021-04-24,
DIST-031,distributor,423,installation,SOLD,04-12-2020,
DIST-034,distributor,424,installation,SOLD,2021/04/28,
DIST-019,distributor,425,installation,SOLD,2020/03/23,
DIST-025,distributor,426,installation,SOLD,02-11-2020,
DIST-009,distributor,427,installation,SOLD,14-01-2024,
DIST-035,distributor,428,installation,SOLD,2021/01/12,
DIST-032,distributor,429,installation,SOLD,2023/09/27,
DIST-006,distributor,430,installation,SOLD,28/05/2021,
DIST-001,distributor,431,installation,SOLD,13-04-2022,
DIST-007,distributor,432,installation,SOLD,08-12-2021,
DIST-017,distributor,433,installation,SOLD,2022-09-15,
DIST-011,distributor,434,installation,SOLD,19/02/2025,
DIST-006,distributor,435,installation,SOLD,01/06/2024,
DIST-032,distributor,436,installation,SOLD,2024/11/29,
DIST-032,distributor,437,installation,SOLD,2024/12/01,
DIST-018,distributor,438,installation,SOLD,2025-04-04,
DIST-017,distributor,439,installation,SOLD,10/01/2024,
DIST-035,distributor,440,installation,SOLD,11-10-2021,
DIST-034,distributor,441,installation,SOLD,2020-07-15,
DIST-037,distributor,442,installation,SOLD,21-06-2023,
DIST-032,distributor,443,installation,SOLD,04-11-2020,
DIST-003,distributor,444,installation,SOLD,01/10/2022,
DIST-037,distributor,445,installation,SOLD,07-09-2021,
DIST-026,distributor,446,installation,SOLD,05-07-2021,
DIST-016,distributor,447,installation,SOLD,25-12-2021,
DIST-002,distributor,448,installation,SOLD,24/09/2022,
DIST-037,distributor,449,installation,SOLD,24/06/2021,
DIST-016,distributor,450,installation,SOLD,20/09/2022,
DIST-032,distributor,451,installation,SOLD,24/01/2025,
DIST-004,distributor,452,installation,SOLD,2023/01/03,
DIST-004,distributor,453,installation,SOLD,2020/07/06,
DIST-037,distributor,454,installation,SOLD,19-01-2022,
DIST-004,distributor,455,installation,SOLD,25/05/2022,
DIST-026,distributor,456,installation,SOLD,2021-10-31,
DIST-027,distributor,457,installation,SOLD,2023-02-16,
DIST-010,distributor,458,installation,SOLD,2022-02-24,
DIST-010,distributor,459,installation,SOLD,11/08/2022,
DIST-014,distributor,460,installation,SOLD,2024/08/12,
DIST-017,distributor,461,installation,SOLD,2022-07-31,
DIST-007,distributor,462,installation,SOLD,2023-06-14,
DIST-013,distributor,463,installation,SOLD,22/01/2024,
DIST-002,distributor,464,installation,SOLD,2023/02/27,
DIST-036,distributor,465,installation,SOLD,2022-01-30,
DIST-015,distributor,466,installation,SOLD,2025-01-13,
DIST-009,distributor,467,installation,SOLD,2021-05-05,
DIST-005,distributor,468,installation,SOLD,2021-03-03,
DIST-027,distributor,469,installation,SOLD,2022-06-29,
DIST-037,distributor,470,installation,SOLD,2025-03-27,
DIST-012,distributor,471,installation,SOLD,05-05-2024,
DIST-027,distributor,472,installation,SOLD,2021-11-21,
DIST-028,distributor,473,installation,SOLD,08-07-2020,
DIST-003,distributor,474,installation,SOLD,03-04-2022,
DIST-020,distributor,475,installation,SOLD,06-08-2022,
DIST-029,distributor,476,installation,SOLD,03/06/2024,
DIST-030,distributor,477,installation,SOLD,18-11-2021,
DIST-029,distributor,478,installation,SOLD,21-11-2020,
DIST-010,distributor,479,installation,SOLD,2021-05-24,
DIST-008,distributor,480,installation,SOLD,21/11/2021,
DIST-032,distributor,481,installation,SOLD,04-03-2025,
DIST-001,distributor,482,installation,SOLD,2024/10/26,
DIST-003,distributor,483,installation,SOLD,2025/04/18,
DIST-037,distributor,484,installation,SOLD,03-09-2021,
DIST-028,distributor,485,installation,SOLD,2020/09/18,
DIST-014,distributor,486,installation,SOLD,15/05/2025,
DIST-034,distributor,487,installation,SOLD,2023-03-05,
DIST-032,distributor,488,installation,SOLD,2025-05-07,
DIST-027,distributor,489,installation,SOLD,2023/01/02,
DIST-033,distributor,490,installation,SOLD,20/03/2020,
DIST-031,distributor,491,installation,SOLD,2020-06-19,
DIST-020,distributor,492,installation,SOLD,06/11/2022,
DIST-025,distributor,493,installation,SOLD,29-07-2021,
DIST-006,distributor,494,installation,SOLD,2022/03/09,
DIST-013,distributor,495,installation,SOLD,09/12/2023,
DIST-010,distributor,496,installation,SOLD,2020-12-31,
DIST-020,distributor,497,installation,SOLD,21/03/2025,
DIST-020,distributor,498,installation,SOLD,2021/12/12,
